clearing_house,contract_code,contract_name,contract_type,source_url
SGX,FBX01,FBX01 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,FBX03,FBX03 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,FBX11,FBX11 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,FBX13,FBX13 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,C3,Baltic Capesize Route C3 Futures/ FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,C5,Baltic Capesize Route C5 Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,C7,Baltic Capesize Route C7 Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Capesize 182 Time Charter Average (5 Routes) Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Capesize 180 Time Charter Average (5 Routes) Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,P2E,Baltic Panamax Route P2E Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Panamax Time Charter Average (5 Routes) Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Supramax Time Charter Average (10 Routes) Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Handysize Time Charter Average ( 7 Routes) Futures/FFA,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Capesize 180 Time Charter (5 Routes) Average Futures/FFA Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Capesize 182 Time Charter (5 Routes) Average Futures/FFA Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Panamax Time Charter Average (5 Routes) Futures/FFA Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,,Baltic Supramax Time Charter (10 Routes) Average Futures/FFA Options,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,BLNG1g,LNG Freight Route BLNG1g (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,BLNG2g,LNG Freight Route BLNG2g (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
SGX,BLNG3g,LNG Freight Route BLNG3g (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
